salary_id,employee_id,effective_date,salary,currency,change_reason
SAL001,EMP001,2020-01-15,120000.00,USD,Initial Hire
SAL002,EMP001,2021-01-15,135000.00,USD,Annual Review
SAL003,EMP001,2022-01-15,145000.00,USD,Promotion
SAL004,EMP002,2019-03-20,140000.00,USD,Initial Hire
SAL005,EMP002,2020-03-20,155000.00,USD,Annual Review
SAL006,EMP002,2021-03-20,165000.00,USD,Promotion
SAL007,EMP003,2021-06-01,110000.00,USD,Initial Hire
SAL008,EMP003,2022-06-01,125000.00,USD,Annual Review
SAL009,EMP004,2020-09-10,130000.00,USD,Initial Hire
SAL010,EMP004,2021-09-10,145000.00,USD,Annual Review
SAL011,EMP004,2022-09-10,155000.00,USD,Promotion
SAL012,EMP005,2018-11-05,150000.00,USD,Initial Hire
SAL013,EMP005,2020-11-05,165000.00,USD,Promotion
SAL014,EMP005,2022-11-05,175000.00,USD,Annual Review
SAL015,EMP006,2022-02-14,115000.00,USD,Initial Hire
SAL016,EMP007,2019-07-22,120000.00,USD,Initial Hire
SAL017,EMP007,2021-07-22,140000.00,USD,Promotion
SAL018,EMP008,2021-04-18,95000.00,USD,Initial Hire
SAL019,EMP008,2022-04-18,105000.00,USD,Annual Review
SAL020,EMP009,2017-08-30,180000.00,USD,Initial Hire
SAL021,EMP009,2019-08-30,200000.00,USD,Promotion
SAL022,EMP009,2021-08-30,220000.00,USD,Annual Review
SAL023,EMP010,2020-12-01,85000.00,USD,Initial Hire
SAL024,EMP010,2021-12-01,95000.00,USD,Annual Review
